,salary,w,l,g,gs,cg,sho,sv,ipouts,h,er,hr,bb,so,baopp,era,ibb,wp,hbp,bk,bfp,gf,r,sh,sf,g_idp
er,0.5412893162124836,0.9661916775301339,0.9846757425068752,0.6174053521773571,0.9539099877696681,0.737863473383424,0.7649646383157926,0.09026687666319956,0.9854509576132443,0.9934370205944038,1.0,0.9787074994687375,0.9571096093557101,0.9316638171671902,0.8045553756707895,0.6423334547872719,0.74060307185453,0.8564378552689804,0.8658680597506255,0.6908737690162908,0.9889947821501492,0.12079948784324722,0.9995298386264853,0.5256903036130864,0.5304398717326828,0.1085003199864909
hr,0.5697976841032737,0.9433052041654013,0.9560413636032278,0.595730311752845,0.9347356634970072,0.6931693809290098,0.7194512252937021,0.08939804171519466,0.9597754311720887,0.9668181321575102,0.9787074994687375,1.0,0.9151703256775673,0.9208410052282106,0.7742795237140246,0.6219227399443626,0.6882041036185832,0.8094841389627363,0.8526266014435168,0.653782897952221,0.9622731692398595,0.11087536639654395,0.9754621769427116,0.5612911409174397,0.5786301805345889,0.12634499765592525
bb,0.5103142496313186,0.9418945332428668,0.9575703648160753,0.6633652423212945,0.9002840096358853,0.743471288161384,0.7673243341607362,0.15305626022103525,0.9602468142749044,0.9469901780940604,0.9571096093557101,0.9151703256775673,1.0,0.9410659024861342,0.7999974495480232,0.6401078357806311,0.7645734980133422,0.9117725018991307,0.8487631313860249,0.7229369985790265,0.9643235277057381,0.19883145029368487,0.9593389991054644,0.46358946868842504,0.45367878845045956,0.08397978648517358
so,0.6428466159608488,0.9633239464855905,0.9311313032884752,0.6592755909045301,0.9012849522443919,0.7321436457653074,0.779906396571442,0.1967253629947954,0.9612190856473676,0.935312764088169,0.9316638171671902,0.9208410052282106,0.9410659024861342,1.0,0.7567429930939396,0.5772386903762634,0.7138841848424134,0.8674610133124735,0.8515392917461364,0.6748875824861594,0.9586727176859386,0.21196955454786254,0.931284679995223,0.5441713514832529,0.5298398784254588,0.175418262780273
baopp,0.41530540074167877,0.7600140172513042,0.8092315046113546,0.8306378977241444,0.6475977295823004,0.5026925732454177,0.5159322131144998,0.3036834434255211,0.79698964054332,0.8031819097519833,0.8045553756707895,0.7742795237140246,0.7999974495480232,0.7567429930939396,1.0,0.8492330484371728,0.8156100669614748,0.7333702915847391,0.7080575677021327,0.5956580031573174,0.8021265770519281,0.4434268155323649,0.8059903375266326,0.4418981929744949,0.4525980631475766,0.04141497977237387
era,0.29657997637306144,0.5684871404837885,0.6289613585780924,0.6557467303085911,0.49341819938846043,0.349139530546034,0.35810559482329957,0.19760927919686336,0.6065019920624902,0.619322083532568,0.6423334547872719,0.6219227399443626,0.6401078357806311,0.5772386903762634,0.8492330484371728,1.0,0.6180933658462783,0.5933018603979536,0.578804374445343,0.45098951110806595,0.6150303848529755,0.33040797613801615,0.6414480339910792,0.35419109067735255,0.37135543729225123,-0.05109603864249071
ibb,0.3069430367021019,0.741830209050596,0.7774858892132099,0.8206377137442916,0.5870621426904122,0.5322651835021196,0.5432285582011664,0.3862957029831008,0.767408259811566,0.7616779739289496,0.74060307185453,0.6882041036185832,0.7645734980133422,0.7138841848424134,0.8156100669614748,0.6180933658462783,1.0,0.6802078283031479,0.6139346783679801,0.6218744845999037,0.7688277790633349,0.5272685280544139,0.7462011230015416,0.3066529579775031,0.2664323426064915,-0.02913270200739953
wp,0.49139799198175294,0.8443151346113931,0.862369042173416,0.6298650151764883,0.7938268330172974,0.6845338075307132,0.688702548066389,0.1713392805323597,0.8633916663382223,0.8455913843471572,0.8564378552689804,0.8094841389627363,0.9117725018991307,0.8674610133124735,0.7333702915847391,0.5933018603979536,0.6802078283031479,1.0,0.7709397042116048,0.6428066183275756,0.8670375154412501,0.219353241483518,0.859882918850142,0.4026020239218544,0.4052968314476879,0.1266188396107332
hbp,0.599448593532188,0.842331400901598,0.8468763432330713,0.5820676381518467,0.8169514563940051,0.5595197983722334,0.6077854220979335,0.09976987019722501,0.8528168122576435,0.849758932101261,0.8658680597506255,0.8526266014435168,0.8487631313860249,0.8515392917461364,0.7080575677021327,0.578804374445343,0.6139346783679801,0.7709397042116048,1.0,0.564646672621694,0.8571582248910689,0.13782138276481357,0.8648969511746579,0.6120883153738375,0.6227358408370608,0.1835181567596565
bk,0.24293735256671403,0.6996610671574468,0.7032808461398313,0.47266156160547756,0.6627281698972896,0.6365741732496478,0.6371868893783973,0.08969144566558192,0.7145213184329089,0.6999855185421779,0.6908737690162908,0.653782897952221,0.7229369985790265,0.6748875824861594,0.5956580031573174,0.45098951110806595,0.6218744845999037,0.6428066183275756,0.564646672621694,1.0,0.7144549837057598,0.1301838077926175,0.6976581060523002,0.14439326688028073,0.1236095519577868,-0.018742056691783762
bfp,0.5498317065670326,0.9876372314952061,0.9847403743018833,0.6461472168119756,0.951141817488459,0.7851143820013262,0.8148756493164235,0.13584199224058557,0.9996264487734088,0.9955441650829889,0.9889947821501492,0.9622731692398595,0.9643235277057381,0.9586727176859386,0.8021265770519281,0.6150303848529755,0.7688277790633349,0.8670375154412501,0.8571582248910689,0.7144549837057598,1.0,0.16340213186831784,0.9904439943543726,0.49649480299670307,0.48884782856828396,0.11899244521697956
gf,0.172448696841529,0.14822421888158904,0.1920217390955032,0.7594306314380656,-0.11274735336220924,-0.044036608129563184,-0.06738603145658224,0.925735885106562,0.16462846659695995,0.139024257322999,0.12079948784324722,0.11087536639654395,0.19883145029368487,0.21196955454786254,0.4434268155323649,0.33040797613801615,0.5272685280544139,0.219353241483518,0.13782138276481357,0.1301838077926175,0.16340213186831784,1.0,0.12358379864090539,0.04398020909920411,0.03414598958410991,-0.06864478441622543
r,0.5336640820714736,0.9672887066245632,0.986151624268635,0.6196902471637306,0.9536293264215568,0.7459953389366897,0.7715270523564771,0.09183310836699236,0.9869646059767246,0.9945043459882272,0.9995298386264853,0.9754621769427116,0.9593389991054644,0.931284679995223,0.8059903375266326,0.6414480339910792,0.7462011230015416,0.859882918850142,0.8648969511746579,0.6976581060523002,0.9904439943543726,0.12358379864090539,1.0,0.5156533252580285,0.5192220902666841,0.10417753634676638
sh,0.715428257835623,0.4985945995554055,0.4936670326105246,0.3530622434445706,0.5073337668708265,0.08384839822315496,0.16785282327219594,0.03673755978847886,0.49219499054535976,0.5054782272895895,0.5256903036130864,0.5612911409174397,0.46358946868842504,0.5441713514832529,0.4418981929744949,0.35419109067735255,0.3066529579775031,0.4026020239218544,0.6120883153738375,0.14439326688028073,0.49649480299670307,0.04398020909920411,0.5156533252580285,1.0,0.9035187621760495,0.3481948924430595
sf,0.702478761349387,0.4861143827519249,0.48827326441516544,0.34944374093995645,0.5009104334893192,0.06710634579265606,0.1459498484938199,0.019440526381295165,0.48358160957315927,0.5011995496719722,0.5304398717326828,0.5786301805345889,0.45367878845045956,0.5298398784254588,0.4525980631475766,0.37135543729225123,0.2664323426064915,0.4052968314476879,0.6227358408370608,0.1236095519577868,0.48884782856828396,0.03414598958410991,0.5192220902666841,0.9035187621760495,1.0,0.3799589649243064
g_idp,0.3620846298915649,0.13365746917122828,0.11845450409113811,0.02698696228930409,0.15972530197228985,-0.026772836148824305,0.015386134725626605,-0.037593644527124694,0.12266302334740506,0.11593995008854864,0.1085003199864909,0.12634499765592525,0.08397978648517358,0.175418262780273,0.04141497977237387,-0.05109603864249071,-0.02913270200739953,0.1266188396107332,0.1835181567596565,-0.018742056691783762,0.11899244521697956,-0.06864478441622543,0.10417753634676638,0.3481948924430595,0.3799589649243064,1.0
